iter	Passed	Remaining
1256	11119	77341
1257	11128	77333
1258	11138	77333
1259	11146	77317
1260	11155	77307
1261	11163	77298
1262	11173	77294
1263	11183	77293
1264	11193	77294
1265	11202	77281
1266	11210	77266
1267	11219	77264
1268	11228	77252
1269	11236	77242
1270	11246	77236
1271	11254	77224
1272	11262	77209
1273	11271	77203
1274	11279	77190
1275	11288	77178
1276	11297	77174
1277	11306	77164
1278	11315	77157
1279	11323	77141
1280	11332	77134
1281	11341	77123
1282	11349	77111
1283	11358	77102
1284	11365	77082
1285	11375	77079
1286	11384	77073
1287	11394	77069
1288	11401	77053
1289	11411	77051
1290	11420	77043
1291	11430	77039
1292	11440	77036
1293	11448	77026
1294	11458	77024
1295	11467	77016
1296	11475	77003
1297	11485	77002
1298	11493	76983
1299	11500	76968
1300	11509	76959
1301	11519	76954
1302	11526	76934
1303	11534	76920
1304	11542	76906
1305	11551	76895
1306	11560	76893
1307	11568	76876
1308	11577	76868
1309	11585	76853
1310	11595	76852
1311	11605	76849
1312	11613	76834
1313	11621	76823
1314	11630	76815
1315	11640	76810
1316	11649	76803
1317	11658	76797
1318	11668	76795
1319	11677	76787
1320	11685	76776
1321	11695	76773
1322	11704	76766
1323	11712	76750
1324	11720	76739
1325	11728	76721
1326	11737	76714
1327	11745	76697
1328	11754	76690
1329	11762	76676
1330	11771	76668
1331	11779	76656
1332	11787	76643
1333	11796	76633
1334	11804	76621
1335	11814	76616
1336	11823	76611
1337	11832	76604
1338	11841	76592
1339	11849	76581
1340	11858	76573
1341	11866	76559
1342	11874	76544
1343	11883	76535
1344	11893	76532
1345	11903	76530
1346	11912	76525
1347	11920	76512
1348	11929	76502
1349	11938	76492
1350	11946	76483
1351	11955	76471
1352	11965	76471
1353	11973	76458
1354	11982	76448
1355	11990	76433
1356	11998	76419
1357	12006	76409
1358	12014	76394
1359	12023	76384
1360	12031	76369
1361	12040	76360
1362	12049	76353
1363	12058	76349
1364	12067	76342
1365	12077	76338
1366	12087	76333
1367	12096	76325
1368	12103	76309
1369	12112	76300
1370	12120	76284
1371	12130	76282
1372	12139	76275
1373	12148	76266
1374	12157	76259
1375	12165	76246
1376	12174	76240
1377	12183	76229
1378	12191	76215
1379	12200	76206
1380	12207	76188
1381	12217	76184
1382	12225	76175
1383	12234	76164
1384	12244	76160
1385	12253	76156
1386	12262	76148
1387	12271	76140
1388	12280	76129
1389	12288	76117
1390	12298	76115
1391	12307	76108
1392	12315	76092
1393	12324	76084
1394	12331	76066
1395	12340	76059
1396	12348	76044
1397	12357	76036
1398	12366	76028
1399	12375	76018
1400	12384	76015
1401	12394	76010
1402	12404	76006
1403	12413	76000
1404	12422	75991
1405	12431	75986
1406	12440	75977
1407	12448	75965
1408	12456	75950
1409	12467	75954
1410	12475	75941
1411	12483	75929
1412	12491	75914
1413	12500	75904
1414	12509	75898
1415	12519	75892
1416	12526	75875
1417	12535	75866
1418	12543	75852
1419	12551	75840
1420	12559	75824
1421	12567	75814
1422	12577	75809
1423	12585	75794
1424	12593	75784
1425	12602	75775
1426	12611	75765
1427	12619	75753
1428	12628	75743
1429	12637	75736
1430	12645	75724
1431	12655	75721
1432	12663	75708
1433	12672	75700
1434	12681	75693
1435	12690	75685
1436	12699	75678
1437	12708	75665
1438	12715	75650
1439	12724	75641
1440	12733	75631
1441	12742	75623
1442	12751	75617
1443	12759	75604
1444	12769	75597
1445	12778	75590
1446	12786	75580
1447	12796	75574
1448	12805	75567
1449	12813	75557
1450	12822	75547
1451	12831	75537
1452	12840	75532
1453	12848	75519
1454	12857	75511
1455	12866	75501
1456	12874	75487
1457	12882	75476
1458	12891	75467
1459	12900	75459
1460	12909	75449
1461	12918	75441
1462	12927	75433
1463	12935	75421
1464	12944	75411
1465	12953	75405
1466	12961	75393
1467	12971	75387
1468	12979	75377
1469	12987	75364
1470	12996	75352
1471	13005	75345
1472	13012	75328
1473	13020	75316
1474	13028	75301
1475	13038	75296
1476	13046	75285
1477	13054	75273
1478	13063	75260
1479	13072	75253
1480	13081	75246
1481	13089	75230
1482	13097	75221
1483	13105	75208
1484	13114	75199
1485	13123	75190
1486	13133	75187
1487	13142	75179
1488	13150	75167
1489	13159	75161
1490	13169	75155
1491	13177	75145
1492	13186	75136
1493	13195	75129
1494	13203	75112
1495	13211	75103
1496	13220	75091
1497	13230	75088
1498	13238	75074
1499	13247	75067
1500	13256	75061
1501	13265	75054
1502	13273	75040
1503	13281	75028
1504	13290	75016
1505	13299	75009
1506	13308	75001
1507	13317	74997
1508	13325	74981
1509	13333	74965
1510	13343	74963
1511	13351	74954
1512	13361	74947
1513	13369	74935
1514	13377	74924
1515	13386	74917
1516	13394	74904
1517	13404	74901
1518	13413	74891
1519	13421	74878
1520	13430	74871
1521	13440	74865
1522	13448	74854
1523	13457	74845
1524	13466	74839
1525	13475	74830
1526	13484	74820
1527	13492	74807
1528	13500	74798
1529	13509	74790
1530	13519	74786
1531	13527	74770
1532	13535	74759
1533	13545	74757
1534	13554	74746
1535	13562	74736
1536	13570	74720
1537	13578	74708
1538	13586	74692
1539	13595	74684
1540	13603	74671
1541	13612	74664
1542	13622	74661
1543	13631	74654
1544	13639	74641
1545	13649	74636
1546	13657	74625
1547	13666	74617
1548	13675	74608
1549	13685	74605
1550	13693	74593
1551	13701	74582
1552	13710	74571
1553	13719	74565
1554	13729	74563
1555	13739	74558
1556	13747	74547
1557	13755	74536
1558	13764	74528
1559	13773	74519
1560	13781	74502
1561	13790	74494
1562	13800	74492
1563	13808	74482
1564	13817	74471
1565	13826	74465
1566	13834	74451
1567	13842	74439
1568	13852	74433
1569	13861	74428
1570	13870	74420
1571	13879	74412
1572	13888	74403
1573	13898	74399
1574	13906	74390
1575	13915	74380
1576	13924	74371
1577	13933	74366
1578	13942	74359
1579	13950	74345
1580	13959	74335
1581	13968	74325
1582	13976	74317
1583	13986	74312
1584	13995	74302
1585	14004	74294
1586	14012	74283
1587	14020	74271
1588	14029	74264
1589	14037	74251
1590	14047	74246
1591	14056	74239
1592	14064	74227
1593	14073	74219
1594	14082	74211
1595	14091	74201
1596	14100	74191
1597	14110	74188
1598	14119	74184
1599	14129	74180
1600	14138	74171
1601	14145	74155
1602	14154	74146
1603	14163	74138
1604	14172	74129
1605	14181	74122
1606	14189	74111
1607	14198	74100
1608	14207	74090
1609	14216	74084
1610	14224	74070
1611	14234	74066
1612	14243	74061
1613	14252	74053
1614	14259	74037
1615	14269	74033
1616	14279	74030
1617	14288	74022
1618	14295	74004
1619	14303	73991
1620	14312	73979
1621	14320	73968
1622	14328	73957
1623	14337	73947
1624	14345	73936
1625	14354	73926
1626	14363	73917
1627	14372	73909
1628	14379	73894
1629	14389	73889
1630	14397	73876
1631	14406	73870
1632	14415	73858
1633	14423	73845
1634	14431	73832
1635	14440	73827
1636	14449	73817
1637	14458	73812
1638	14467	73803
1639	14476	73794
1640	14485	73784
1641	14493	73772
1642	14502	73765
1643	14512	73763
1644	14521	73755
1645	14530	73749
1646	14540	73742
1647	14548	73730
1648	14556	73720
1649	14565	73712
1650	14575	73707
1651	14584	73697
1652	14592	73685
1653	14599	73668
1654	14608	73661
1655	14618	73654
1656	14627	73651
1657	14636	73643
1658	14646	73636
1659	14655	73630
1660	14665	73625
1661	14672	73611
1662	14681	73601
1663	14689	73589
1664	14697	73577
1665	14705	73563
1666	14713	73549
1667	14721	73536
1668	14729	73525
1669	14739	73522
1670	14748	73513
